truth,label,probability
4,2,0.26595744680851063
4,1,0.30851063829787234
4,4,0.2127659574468085
4,0,0.1702127659574468
4,3,0.0425531914893617
2,2,0.8424657534246576
2,1,0.06986301369863014
2,0,0.03424657534246575
2,3,0.038356164383561646
2,4,0.015068493150684932
0,2,0.07142857142857142
0,0,0.7473867595818815
0,3,0.027874564459930314
0,1,0.12020905923344948
0,4,0.033101045296167246
1,1,0.675561797752809
1,4,0.06601123595505617
1,0,0.08848314606741572
1,2,0.12780898876404495
1,3,0.042134831460674156
3,3,0.6497297297297298
3,1,0.14702702702702702
3,0,0.06378378378378378
3,2,0.08972972972972973
3,4,0.04972972972972973
